Majority.protein.IDs	Gene.names	quantified	Potential.contaminant	Intensity_Ctrl_acetylated_1	Intensity_Ctrl_acetylated_2	Intensity_Ctrl_acetylated_3	Intensity_GFP_Atg8_acetylated_1	Intensity_GFP_Atg8_acetylated_2	Intensity_GFP_Atg8_acetylated_3	LFQIntensity_Ctrl_acetylated_1	LFQIntensity_Ctrl_acetylated_2	LFQIntensity_Ctrl_acetylated_3	LFQIntensity_GFP_Atg8_acetylated_1	LFQIntensity_GFP_Atg8_acetylated_2	LFQIntensity_GFP_Atg8_acetylated_3	ImputedIntensity_Ctrl_acetylated_1	ImputedIntensity_Ctrl_acetylated_2	ImputedIntensity_Ctrl_acetylated_3	ImputedIntensity_GFP_Atg8_acetylated_1	ImputedIntensity_GFP_Atg8_acetylated_2	ImputedIntensity_GFP_Atg8_acetylated_3	iBAQ_Ctrl_acetylated_1	iBAQ_Ctrl_acetylated_2	iBAQ_Ctrl_acetylated_3	iBAQ_GFP_Atg8_acetylated_1	iBAQ_GFP_Atg8_acetylated_2	iBAQ_GFP_Atg8_acetylated_3	razorUniqueCount_Ctrl_acetylated_1	razorUniqueCount_Ctrl_acetylated_2	razorUniqueCount_Ctrl_acetylated_3	razorUniqueCount_GFP_Atg8_acetylated_1	razorUniqueCount_GFP_Atg8_acetylated_2	razorUniqueCount_GFP_Atg8_acetylated_3	AveExpr_GFP_Atg8_acetylated__vs__Ctrl_acetylated	logFC_GFP_Atg8_acetylated__vs__Ctrl_acetylated	P.Value_GFP_Atg8_acetylated__vs__Ctrl_acetylated	adj.P.Val_GFP_Atg8_acetylated__vs__Ctrl_acetylated
3OGO	GFPNanobody	+		35.28898504001223	36.569990115122785	36.40016715868242	36.69736287364289	36.73458604963828	36.41763750559089	36.166724373014496	35.754185529332396	35.501823355058704	35.77634187268057	35.76544727970568	35.78197372898022	35.715668050509876	35.9070603765789	35.826193057945446	35.91224246898261	35.29630122916103	36.089030955594204	36.253502409877065	37.156052310376246	36.99609620798436	37.35325535670955	37.350585679834644	37.03577021548699	226	222	196	201	205	197	35.791082689795346	-0.05044894376545983	0.8545030086350278	0.9965342103788666
O14455	RPL36B	+		27.628337650506207	27.30310356105984	26.81752295764613	26.940055682388564	27.569212793132944	27.224199692590833	26.96133615447093	26.59324213381959	26.12261909557211	26.240997446462185	26.678917161784554	26.490151375772847	26.510279831966308	26.746116981066095	26.44698879845885	26.376898042764225	26.209771111239903	26.797208602386835	29.177817521092198	28.474128257034447	27.99841450766922	28.180910666176384	28.770174924050465	28.427294903208093	6	10	6	5	9	10	26.514543894647034	-0.10650261836676478	0.5805103431430237	0.9965342103788666
O74302	TY1A-DR4	+		26.166797415161422	25.544160986124528	25.648516566227404	25.61468637004732	26.021871570974046	25.14912610427179	25.080684341144945	24.23392578939867	24.136568761069746	24.15505954524914	24.742841986422864	24.021398711987946	24.62962801864032	24.386800636645173	24.460938463956488	24.29096014155118	24.273695935878212	24.328455938601934	25.908922363689808	24.907830760041534	25.022053194192893	25.048186431777534	25.415478779833965	24.54486639283145	8	5	6	5	7	4	24.395079855878883	-0.19475170107022066	0.12028361828757497	0.9965342103788666
P00330	ADH1	+		31.928348324604038	31.48573927621313	31.114208606927352	31.444155126572966	32.0857184862541	31.232508041835874	29.56072197732521	29.00927382111825	28.61560039720966	29.089540200388527	29.73908964936686	28.710726887683332	29.109665654820585	29.162148668364754	28.939970100096403	29.225440796690567	29.26994359882221	29.01778411429732	31.39036535393969	30.5693011309374	30.207637315700104	30.597547269110446	31.199217775921284	30.348140411202795	31	28	28	29	36	29	29.12082548884864	0.10046136217611945	0.4550846382386843	0.9965342103788666
P00358	TDH2	+		26.717039216143093	25.50330641043525	25.51535407225338	25.556715594261807	25.83624918792255	25.516000301096216	26.04872050462986	24.867015115937974	24.78330651880845	24.969871555422383	25.253165527700283	24.861023467043047	25.597664182125236	25.01988996318448	25.10767622169519	25.105772151724423	24.78401947715563	25.168080693657036	25.94459099184172	24.3524030115225	24.37431752738911	24.475642483162265	24.715283223952706	24.397167416826115	3	3	2	3	3	2	25.130517114923663	-0.2224526814892691	0.30018301459709734	0.9965342103788666
P00359	TDH3	+		32.72628232631754	32.23613408306898	32.52646962283711	32.53497153889802	33.32317063950433	32.178858830833796	30.96671200469862	30.403899756011995	30.59018923377568	30.457305668585168	31.55287216290144	30.454984974415893	30.515655682193998	30.5567746032585	30.91455893666242	30.593206264887208	31.08372611235679	30.76204220102988	31.953834102016167	31.08523068415623	31.385433077972838	31.453898427798475	32.20220467553449	31.060025946563698	65	67	71	63	86	61	30.737660633398136	0.15066178538632258	0.45373241758347105	0.9965342103788666
P00360	TDH1	+		25.238953375822472	25.012347986900316	24.593681760891826	24.896995760085932	25.829121464295966	25.06755400571221	24.61557721824686	24.057351239831814	23.99768635500623	24.137101997833202	25.020536544193607	24.15271901714216	24.164520895742235	24.21022608707832	24.322056057892972	24.273002594135242	24.551390493648956	24.45977624375615	24.329001627771163	23.72394106423763	23.315141692277624	23.678419125236452	24.57065197657619	23.811217597692174	2	2	1	2	6	2	24.330162062042312	0.19578876360894526	0.14826937577977375	0.9965342103788666
P00445	SOD1	+		24.189681914600794	23.544563237032058	23.946579353984234	24.125733964968354	25.181851446786432	24.220627930918692	24.32507730360558	23.413458006210806	23.616761169984343	23.252919037767022	24.33969304425351	23.431780679106506	23.874020981100955	23.56633285345731	23.941130872871085	23.388819634069062	23.87054699370886	23.738837905720494	24.15419928446563	23.130625432285512	23.54250840328617	23.781626448035016	24.7978510769828	23.838760640814797	3	2	2	2	4	3	23.72994820682129	-0.12776005797698176	0.49647246058044636	0.9965342103788666
P00447	SOD2			21.045264935068353	20.395698338778487	19.619307541215903	20.217861639915405	20.56029159350451	20.19163615017743													21.135313187017047	20.1072914161158	19.340767472601698	19.99928500506593	20.301822105784733	19.935299742157397	1	1	0	1	0	0				
P00498	HIS1	+		23.17765463664133	22.772415765790484	22.665491631870594	22.74241820292844	23.469189175227676	22.76878775983968	22.593316003266803	22.227211229692333	22.10624742502709	22.246314682239216	22.942782493736313	22.259429218931526	22.14225968076218	22.380086076938838	22.43061712791383	22.382215278541256	22.473636443191662	22.566486445545515	22.557209505785007	21.773515460322784	21.676458180451377	21.81334818527395	22.500226304702885	21.80195796901463	1	1	1	1	1	2	22.395883508815547	0.15645842722119596	0.2995855913005175	0.9965342103788666
