Majority.protein.IDs	Gene.names	quantified	Potential.contaminant	Intensity_Ctrl_untreated_1	Intensity_Ctrl_untreated_2	Intensity_Ctrl_untreated_3	Intensity_GFP_Atg8_untreated_1	Intensity_GFP_Atg8_untreated_2	Intensity_GFP_Atg8_untreated_3	LFQIntensity_Ctrl_untreated_1	LFQIntensity_Ctrl_untreated_2	LFQIntensity_Ctrl_untreated_3	LFQIntensity_GFP_Atg8_untreated_1	LFQIntensity_GFP_Atg8_untreated_2	LFQIntensity_GFP_Atg8_untreated_3	ImputedIntensity_Ctrl_untreated_1	ImputedIntensity_Ctrl_untreated_2	ImputedIntensity_Ctrl_untreated_3	ImputedIntensity_GFP_Atg8_untreated_1	ImputedIntensity_GFP_Atg8_untreated_2	ImputedIntensity_GFP_Atg8_untreated_3	iBAQ_Ctrl_untreated_1	iBAQ_Ctrl_untreated_2	iBAQ_Ctrl_untreated_3	iBAQ_GFP_Atg8_untreated_1	iBAQ_GFP_Atg8_untreated_2	iBAQ_GFP_Atg8_untreated_3	razorUniqueCount_Ctrl_untreated_1	razorUniqueCount_Ctrl_untreated_2	razorUniqueCount_Ctrl_untreated_3	razorUniqueCount_GFP_Atg8_untreated_1	razorUniqueCount_GFP_Atg8_untreated_2	razorUniqueCount_GFP_Atg8_untreated_3	AveExpr_GFP_Atg8_untreated__vs__Ctrl_untreated	logFC_GFP_Atg8_untreated__vs__Ctrl_untreated	P.Value_GFP_Atg8_untreated__vs__Ctrl_untreated	adj.P.Val_GFP_Atg8_untreated__vs__Ctrl_untreated
3OGO	GFPNanobody	+		38.04959266524925	37.84976394682179	37.997436317024444	38.16868804130687	38.253351101759634	38.39332217296156	36.03249715986757	35.86638188229648	36.04189955127815	36.35499343583387	36.30234569911156	36.572370594866335	36.33235208972713	36.32920018300007	35.852888941870134	36.39578723379226	35.806667138294955	36.45359273656941	38.2493299863975	38.0041712405978	38.274858533389576	38.352318815113335	38.57504198846431	38.596295847177245	605	602	630	641	566	651	36.19508138720899	0.047201964686429676	0.8860240284793672	0.9841555191928069
O13535	TY1B-H	+		22.620732624649662	22.384892020236062	23.04625591697649	22.853097541181516	23.238813175607643	23.04129619191398	21.96420952835604	21.783975060050583	22.115812518163143	22.05100459873558	22.52212340430389	22.508224328719567	22.264064458215604	22.24679336075417	21.926801908755124	22.091798396693974	22.026444843487287	22.389446470422644	19.120030227656816	18.838859595870982	19.623238415200532	19.336288596846888	19.860064344171228	19.543830147988572	3	2	4	2	2	3	22.157558239721467	0.023343327626328403	0.9015191122819537	0.9841555191928069
O14455	RPL36B	+		26.316059650320774	26.01357769974028	26.483277753654253	26.374416147638268	26.885416031108008	26.539287100762863	24.391382844857617	24.139066343232866	24.727486759465222	24.462906607965486	25.11386152824677	24.734987401175555	24.69123777471718	24.601884643936454	24.538476150057203	24.50370040592388	24.618182967430165	24.616209542878632	27.100759472190177	26.75294749423745	27.345662470740542	27.14300942216589	27.79206941853384	27.32722327569971	11	10	9	7	11	9	24.594948580823917	-0.031168550826055963	0.7607481987832418	0.9841555191928069
P00330	ADH1	+		29.370740482482713	29.28300509666382	29.829512016381862	29.653004803328386	30.053450156366452	29.791384723683468	26.472610806633135	26.38212479631312	26.95539010824032	26.760203578018093	27.152198989881708	26.90049093591223	26.7724657364927	26.84494309701671	26.7663794988323	26.800997375976486	26.656520429065104	26.781713077615308	28.06797746310178	27.93491204991065	28.60443389221781	28.33413523660567	28.872640702541947	28.49185805736997	25	23	25	23	23	22	26.770503202499768	-0.04818581656160603	0.6105646929430592	0.9841555191928069
P00358	TDH2	+		23.901576140443193	23.7125870320002	24.93468124998381	24.294087832888625	25.35976336493981	25.08029918582561	22.60325947747661	22.517417333871276	23.33331575187831	23.070331769882753	24.026327394701113	23.335644002013062	22.903114407336172	22.980235634574864	23.14430514247029	23.111125567841146	23.53064883388451	23.21686614371614	22.364347867425234	22.130028731610004	23.475137872182735	22.740753012528884	23.944488657478278	23.54630726587509	3	2	4	3	5	5	23.147715954970522	0.27699512035349017	0.1313455826592934	0.9841555191928069
P00359	TDH3	+		30.496824812600455	30.259468428877344	31.23154845204099	30.974129328891795	31.48382328875512	31.016676225527515	28.19315081445036	28.003039191152187	28.986849269251337	28.568873126208914	29.192006348191825	28.674438130601178	28.493005744309922	28.465857491855775	28.79783865984332	28.609666924167307	28.69632778737522	28.555660272304255	28.9595965395825	28.676910128487147	29.772005074239914	29.420794508532055	30.068548581293587	29.482684305576996	47	47	57	49	52	44	28.60305947997597	0.03498436261258675	0.7923457486965296	0.9841555191928069
P00360	TDH1			20.63387166704139	20.140803439790837	21.18611351393706	21.377448061029504	22.096999797744612	21.605764702545347													18.959139870273496	18.42074161565071	19.589066612386052	19.68660971691983	20.544221566533146	19.934269258844893	0	0	0	0	1	0				
P00498	HIS1			20.000412836874535	20.030570154502566	20.552833238861005	20.278008122566778	20.644624266178276	20.530627797474597													18.615187657301625	18.600014947557423	19.24529295450498	18.876676395652087	19.381352652161794	19.148638970969127	0	0	1	0	0	1				
P00549	CDC19	+		29.66059930160309	29.447865169677435	30.133310726566336	29.933147990900526	30.340459567450505	30.113794432927236	26.39733843080206	26.181203716238116	26.88465532316234	26.659982041913963	27.091316716882073	26.830409885150427	26.697193360661622	26.644022016941705	26.695644713754323	26.700775839872357	26.59563815606547	26.711632026853504	27.63794420141489	27.379880042116998	28.188340521595016	27.89438634337054	28.43975803281873	28.094375685806476	47	45	52	50	48	53	26.67415101902483	-0.009604689522106469	0.9142804783010268	0.9841555191928069
P00560	PGK1	+		29.115488244111603	29.071520188486218	29.4372376327081	29.39678660386755	29.65449373083219	29.580263729441416	25.943846797472077	25.93188439479793	26.268866843205913	26.212417641806624	26.491414894429372	26.46137577583467	26.24370172733164	26.39470269550152	26.079856233797894	26.253211439765018	25.99573633361277	26.34259791753775	27.14530056381754	27.056002480819917	27.54473484763092	27.4104923762317	27.806259616094554	27.61331240221479	37	31	34	31	29	35	26.21830105792443	-0.04223832190517385	0.7733332798343359	0.9841555191928069
