	Sample	Experiment	Replicate	Concentration
0	Strp_beads_NHS_Ac_0nM_1	Acetylation 0nM	1	0
1	Strp_beads_NHS_Ac_0nM_2	Acetylation 0nM	2	0
4	Strp_beads_NHS_Ac_100nM_1	Acetylation 100nM	1	100
5	Strp_beads_NHS_Ac_100nM_2	Acetylation 100nM	2	100
8	Strp_beads_NHS_Ac_500nM_1	Acetylation 500nM	1	500
9	Strp_beads_NHS_Ac_500nM_2	Acetylation 500nM	2	500
2	Strp_beads_NHS_Ac_1000nM_1	Acetylation 1000nM	1	1000
3	Strp_beads_NHS_Ac_1000nM_2	Acetylation 1000nM	2	1000
6	Strp_beads_NHS_Ac_5000nM_1	Acetylation 5000nM	1	5000
7	Strp_beads_NHS_Ac_5000nM_2	Acetylation 5000nM	2	5000
