	Protein	Protein ID	Protein entry name	Gene name	Protein length	Organism	Protein Existence	Protein name	Protein Probability	Top Peptide Probability	Total peptides	Spectral count Combined	Unique spectral count Combined	Total spectral count Combined	Spectral count Ctrl_acetylated_1	Spectral count Ctrl_acetylated_2	Spectral count Ctrl_acetylated_3	Spectral count GFP_Atg8_acetylated_1	Spectral count GFP_Atg8_acetylated_2	Spectral count GFP_Atg8_acetylated_3	Unique spectral count Ctrl_acetylated_1	Unique spectral count Ctrl_acetylated_2	Unique spectral count Ctrl_acetylated_3	Unique spectral count GFP_Atg8_acetylated_1	Unique spectral count GFP_Atg8_acetylated_2	Unique spectral count GFP_Atg8_acetylated_3	Total spectral count Ctrl_acetylated_1	Total spectral count Ctrl_acetylated_2	Total spectral count Ctrl_acetylated_3	Total spectral count GFP_Atg8_acetylated_1	Total spectral count GFP_Atg8_acetylated_2	Total spectral count GFP_Atg8_acetylated_3	Intensity Ctrl_acetylated_1	Intensity Ctrl_acetylated_2	Intensity Ctrl_acetylated_3	Intensity GFP_Atg8_acetylated_1	Intensity GFP_Atg8_acetylated_2	Intensity GFP_Atg8_acetylated_3	LFQ intensity Ctrl_acetylated_1	LFQ intensity Ctrl_acetylated_2	LFQ intensity Ctrl_acetylated_3	LFQ intensity GFP_Atg8_acetylated_1	LFQ intensity GFP_Atg8_acetylated_2	LFQ intensity GFP_Atg8_acetylated_3	Indistinguishable Proteins	Protein reported by software	Representative protein	Potential contaminant	Leading proteins	Leading potential contaminants	Molecular weight [kDa]	Fasta header	iBAQ peptides	iBAQ intensity Ctrl_acetylated_1	iBAQ intensity Ctrl_acetylated_2	iBAQ intensity Ctrl_acetylated_3	iBAQ intensity GFP_Atg8_acetylated_1	iBAQ intensity GFP_Atg8_acetylated_2	iBAQ intensity GFP_Atg8_acetylated_3	Sequence coverage	Valid	Expression Ctrl_acetylated_1	Expression Ctrl_acetylated_2	Expression Ctrl_acetylated_3	Expression GFP_Atg8_acetylated_1	Expression GFP_Atg8_acetylated_2	Expression GFP_Atg8_acetylated_3	Missing total	Missing Ctrl_acetylated	Missing GFP_Atg8_acetylated	Missing Ctrl_acetylated_1	Missing Ctrl_acetylated_2	Missing Ctrl_acetylated_3	Missing GFP_Atg8_acetylated_1	Missing GFP_Atg8_acetylated_2	Missing GFP_Atg8_acetylated_3	Events total	Events Ctrl_acetylated	Events GFP_Atg8_acetylated	Expression Ctrl_acetylated	Expression GFP_Atg8_acetylated	P-value GFP_Atg8_acetylated vs Ctrl_acetylated	Adjusted p-value GFP_Atg8_acetylated vs Ctrl_acetylated	Average expression GFP_Atg8_acetylated vs Ctrl_acetylated	Ratio [log2] GFP_Atg8_acetylated vs Ctrl_acetylated
0	pdb|3OGO|GFPNANOBODY_SYNTHETIC	pdb|3OGO|GFPNANOBODY_SYNTHETIC GFP-Nanobody OS=Synthetic OX=0000 GN=GFPNanobody PE=1 SV=1	pdb|3OGO|GFPNANOBODY_SYNTHETIC GFP-Nanobody OS=Synthetic OX=0000 GN=GFPNanobody PE=1 SV=1	GFPNanobody	123			GFP-Nanobody	1.0	0.999	19	1247	1231	1247	226	222	196	201	205	197	222	219	194	198	203	195	226	222	196	201	205	197	41980056000.0	102014984000.0	90686400000.0	111431246000.0	114343710000.0	91791245000.0	77138090000.0	57953853000.0	48653460000.0	58850755000.0	58408014000.0	59080940000.0		3OGO	3OGO	False	3OGO	False	13.79	pdb|3OGO|GFPNANOBODY_SYNTHETIC GFP-Nanobody OS=Synthetic OX=0000 GN=GFPNanobody PE=1 SV=1	6	81920326254.5748	153139161873.7728	137067559778.10104	175569995524.96158	175245407349.83893	140889214359.99005	71.5	True	35.715668050509876	35.9070603765789	35.826193057945446	35.91224246898261	35.29630122916103	36.089030955594204	0	0	0	False	False	False	False	False	False	6	3	3	35.816307161678075	35.765858217912616	0.8545030086350278	0.9965342103788666	35.791082689795346	-0.05044894376545983
1	sp|O14455|RL36B_YEAST	O14455	RL36B_YEAST	RPL36B	100	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	60S ribosomal protein L36-B	1.0	0.999	8	46	20	46	6	10	6	5	9	10	2	4	4	2	5	3	6	10	6	5	9	10	207471460.0	165597260.0	118271150.0	128755220.0	199140690.0	156783630.0	130668500.0	101242664.0	73062060.0	79309890.0	107437110.0	94260590.0		O14455	O14455	False	O14455	False	11.13	sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3	4	607293009.2701508	372877952.9827683	268140612.96925044	304298222.5903062	457810377.22553337	360967799.0837912	57.0	True	26.510279831966308	26.746116981066095	26.44698879845885	26.376898042764225	26.209771111239903	26.797208602386835	0	0	0	False	False	False	False	False	False	6	3	3	26.567795203830418	26.461292585463653	0.5805103431430237	0.9965342103788666	26.514543894647034	-0.10650261836676478
2	sp|O74302|YD13A_YEAST	O74302	YD13A_YEAST	TY1A-DR4	440	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	2:Experimental evidence at transcript level	Transposon Ty1-DR4 Gag polyprotein	1.0	0.999	8	35	0	35	8	5	6	5	7	4	0	0	0	0	0	0	8	5	6	5	7	4	75333980.0	48928136.0	52598436.0	51379388.0	68134000.0	37208428.0	35484468.0	19730522.0	18442984.0	18680886.0	28076154.0	17027918.0	sp|P0C2I3|YD15B_YEAST, sp|P0C2I5|YL12B_YEAST, sp|P0C2I6|YL13B_YEAST, sp|P0C2I8|YL14A_YEAST, sp|P0C2I9|YP12B_YEAST, sp|P0C2J1|YP14B_YEAST, sp|P0CX57|YA11A_YEAST, sp|P0CX58|YP12A_YEAST, sp|P0CX70|YD15A_YEAST, sp|P0CX71|YE11A_YEAST, sp|P0CX72|YL12A_YEAST, sp|P0CX73|YP11A_YEAST, sp|P0CX74|YJ11A_YEAST, sp|P0CX75|YL13A_YEAST, sp|P0CX76|YM12A_YEAST, sp|P47098|YJ11B_YEAST, sp|P47099|YJ12A_YEAST, sp|P47100|YJ12B_YEAST, sp|Q03434|YM12B_YEAST, sp|Q03612|YE11B_YEAST, sp|Q07793|YD13B_YEAST, sp|Q12085|YG11A_YEAST, sp|Q12141|YG11B_YEAST, sp|Q12414|YP11B_YEAST, sp|Q6Q5H1|YP14A_YEAST	O74302	O74302	False	O74302;P0C2I3;P0C2I5;P0C2I6;P0C2I8;P0C2I9;P0C2J1;P0CX57;P0CX58;P0CX70;P0CX71;P0CX72;P0CX73;P0CX74;P0CX75;P0CX76;P47098;P47099;P47100;Q03434;Q03612;Q07793;Q12085;Q12141;Q12414;Q6Q5H1	False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False	48.98	sp|O74302|YD13A_YEAST Transposon Ty1-DR4 Gag polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1A-DR4 PE=2 SV=1	14	63003225.89567239	31477786.51986753	34071289.01985912	34694086.180800416	44752929.25803861	24476032.64726355	18.9	True	24.62962801864032	24.386800636645173	24.460938463956488	24.29096014155118	24.273695935878212	24.328455938601934	0	0	0	False	False	False	False	False	False	6	3	3	24.492455706413995	24.297704005343775	0.12028361828757497	0.9965342103788666	24.395079855878883	-0.19475170107022066
3	sp|P00330|ADH1_YEAST	P00330	ADH1_YEAST	ADH1	348	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Alcohol dehydrogenase 1	1.0	0.999	16	181	0	181	31	28	28	29	36	29	0	0	0	0	0	0	31	28	28	29	36	29	4086867500.0	3007128300.0	2324395800.0	2921688300.0	4557888500.0	2523026200.0	791888450.0	540333100.0	411295600.0	571247300.0	896103200.0	439329120.0	sp|contam_P00330|ADH1_YEAST	P00330	P00330	False	P00330;contam_P00330	False;True	36.83	sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5	17	2814761138.5011168	1593223071.814753	1239952161.960339	1624723722.959862	2465473800.323746	1366786172.2324562	39.9	True	29.109665654820585	29.162148668364754	28.939970100096403	29.225440796690567	29.26994359882221	29.01778411429732	0	0	0	False	False	False	False	False	False	6	3	3	29.070594807760582	29.1710561699367	0.4550846382386843	0.9965342103788666	29.12082548884864	0.10046136217611945
4	sp|P00358|G3P2_YEAST	P00358	G3P2_YEAST	TDH2	332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Glyceraldehyde-3-phosphate dehydrogenase 2	1.0	0.9984	19	16	16	360	3	3	2	3	3	2	3	3	2	3	3	2	58	57	61	56	74	54	110313890.0	47562012.0	47960856.0	49355776.0	59908160.0	47982344.0	69413864.0	30599720.0	28874778.0	32860966.0	39990820.0	30472900.0		P00358	P00358	False	P00358	False	35.82	sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3	20	64580308.27218008	21419225.98755784	21747067.355597626	23329345.266724396	27544925.478050325	22094246.840134207	4.5	True	25.597664182125236	25.01988996318448	25.10767622169519	25.105772151724423	24.78401947715563	25.168080693657036	0	0	0	False	False	False	False	False	False	6	3	3	25.2417434556683	25.01929077417903	0.30018301459709734	0.9965342103788666	25.130517114923663	-0.2224526814892691
5	sp|P00359|G3P3_YEAST	P00359	G3P3_YEAST	TDH3	332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Glyceraldehyde-3-phosphate dehydrogenase 3	1.0	0.999	24	413	63	413	65	67	71	63	86	61	9	12	11	9	14	8	65	67	71	63	86	61	7105467000.0	5058751000.0	6186471400.0	6223036400.0	10746670000.0	4861852000.0	2098501000.0	1420645800.0	1616458400.0	1474221000.0	3150365700.0	1471851500.0		P00359	P00359	False	P00359	False	35.72	sp|P00359|G3P3_YEAST Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3	20	4159705085.894465	2278173826.7040553	2805154483.257729	2941486823.8115363	4941167017.768516	2238718437.519438	55.4	True	30.515655682193998	30.5567746032585	30.91455893666242	30.593206264887208	31.08372611235679	30.76204220102988	0	0	0	False	False	False	False	False	False	6	3	3	30.662329740704973	30.812991526091295	0.45373241758347105	0.9965342103788666	30.737660633398136	0.15066178538632258
6	sp|P00360|G3P1_YEAST	P00360	G3P1_YEAST	TDH1	332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Glyceraldehyde-3-phosphate dehydrogenase 1	1.0	0.999	11	15	15	121	2	2	1	2	6	2	2	2	1	2	6	2	22	18	18	20	28	15	39598800.0	33842856.0	25318380.0	31242266.0	59612910.0	35162980.0	25705562.0	17457592.0	16750332.0	18449802.0	34035490.0	18650604.0		P00360	P00360	False	P00360	False	35.73	sp|P00360|G3P1_YEAST Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH1 PE=1 SV=3	22	21074595.833336085	13855361.955067262	10436551.067899961	13425003.46922359	24917430.63624723	14719421.107266651	17.5	True	24.164520895742235	24.21022608707832	24.322056057892972	24.273002594135242	24.551390493648956	24.45977624375615	0	0	0	False	False	False	False	False	False	6	3	3	24.23226768023784	24.428056443846785	0.14826937577977375	0.9965342103788666	24.330162062042312	0.19578876360894526
7	sp|P00445|SODC_YEAST	P00445	SODC_YEAST	SOD1	154	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Superoxide dismutase [Cu-Zn]	1.0	0.999	5	16	16	16	3	2	2	2	4	3	3	2	2	2	4	3	3	2	2	2	4	3	19134620.0	12235445.0	16167344.0	18304994.0	38062090.0	19549494.0	21017348.0	11172572.0	12863333.0	9995997.0	21231354.0	11315372.0		P00445	P00445	False	P00445	False	15.84	sp|P00445|SODC_YEAST Superoxide dismutase [Cu-Zn] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SOD1 PE=1 SV=2	12	18669750.14465574	9183581.269064572	12218030.433301594	14420585.921943514	29167351.954192456	15003134.834892692	37.7	True	23.874020981100955	23.56633285345731	23.941130872871085	23.388819634069062	23.87054699370886	23.738837905720494	0	0	0	False	False	False	False	False	False	6	3	3	23.793828235809784	23.666068177832802	0.49647246058044636	0.9965342103788666	23.72994820682129	-0.12776005797698176
8	sp|P00447|SODM_YEAST	P00447	SODM_YEAST	SOD2	233	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Superoxide dismutase [Mn], mitochondrial	0.7956	0.9933	1	3	3	3	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	0	0	2163993.8	1379485.0	805378.56	1219502.8	1546195.8	1197534.8	0.0	0.0	0.0	0.0	0.0	0.0		P00447	P00447	False	P00447	False	25.76	sp|P00447|SODM_YEAST Superoxide dismutase [Mn], mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SOD2 PE=1 SV=1	11	2303367.5121895163	1129530.201977396	663974.1144916643	1048056.4579232429	1292579.9662038574	1002589.5991640269	3.0	False							6	3	3	True	True	True	True	True	True	0	0	0						
9	sp|P00498|HIS1_YEAST	P00498	HIS1_YEAST	HIS1	297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	ATP phosphoribosyltransferase	1.0	0.999	2	7	7	7	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	9487882.0	7164406.5	6652622.0	7016977.0	11612612.0	7146412.5	6327990.5	4909726.5	4514852.5	4975171.0	8062425.5	5020603.0		P00498	P00498	False	P00498	False	32.25	sp|P00498|HIS1_YEAST ATP phosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HIS1 PE=1 SV=1	18	6171584.501180812	3584934.82595658	3351692.071674511	3685293.7415440264	5932572.126429539	3656312.5478085717	6.7	True	22.14225968076218	22.380086076938838	22.43061712791383	22.382215278541256	22.473636443191662	22.566486445545515	0	0	0	False	False	False	False	False	False	6	3	3	22.31765429520495	22.474112722426145	0.2995855913005175	0.9965342103788666	22.395883508815547	0.15645842722119596
