	Protein	Protein ID	Protein entry name	Gene name	Protein length	Organism	Protein Existence	Protein name	Protein Probability	Top Peptide Probability	Total peptides	Spectral count Combined	Unique spectral count Combined	Total spectral count Combined	Spectral count Ctrl_untreated_1	Spectral count Ctrl_untreated_2	Spectral count Ctrl_untreated_3	Spectral count GFP_Atg8_untreated_1	Spectral count GFP_Atg8_untreated_2	Spectral count GFP_Atg8_untreated_3	Unique spectral count Ctrl_untreated_1	Unique spectral count Ctrl_untreated_2	Unique spectral count Ctrl_untreated_3	Unique spectral count GFP_Atg8_untreated_1	Unique spectral count GFP_Atg8_untreated_2	Unique spectral count GFP_Atg8_untreated_3	Total spectral count Ctrl_untreated_1	Total spectral count Ctrl_untreated_2	Total spectral count Ctrl_untreated_3	Total spectral count GFP_Atg8_untreated_1	Total spectral count GFP_Atg8_untreated_2	Total spectral count GFP_Atg8_untreated_3	Intensity Ctrl_untreated_1	Intensity Ctrl_untreated_2	Intensity Ctrl_untreated_3	Intensity GFP_Atg8_untreated_1	Intensity GFP_Atg8_untreated_2	Intensity GFP_Atg8_untreated_3	LFQ intensity Ctrl_untreated_1	LFQ intensity Ctrl_untreated_2	LFQ intensity Ctrl_untreated_3	LFQ intensity GFP_Atg8_untreated_1	LFQ intensity GFP_Atg8_untreated_2	LFQ intensity GFP_Atg8_untreated_3	Indistinguishable Proteins	Protein reported by software	Representative protein	Potential contaminant	Leading proteins	Leading potential contaminants	Molecular weight [kDa]	Fasta header	iBAQ peptides	iBAQ intensity Ctrl_untreated_1	iBAQ intensity Ctrl_untreated_2	iBAQ intensity Ctrl_untreated_3	iBAQ intensity GFP_Atg8_untreated_1	iBAQ intensity GFP_Atg8_untreated_2	iBAQ intensity GFP_Atg8_untreated_3	Sequence coverage	Valid	Expression Ctrl_untreated_1	Expression Ctrl_untreated_2	Expression Ctrl_untreated_3	Expression GFP_Atg8_untreated_1	Expression GFP_Atg8_untreated_2	Expression GFP_Atg8_untreated_3	Missing total	Missing Ctrl_untreated	Missing GFP_Atg8_untreated	Missing Ctrl_untreated_1	Missing Ctrl_untreated_2	Missing Ctrl_untreated_3	Missing GFP_Atg8_untreated_1	Missing GFP_Atg8_untreated_2	Missing GFP_Atg8_untreated_3	Events total	Events Ctrl_untreated	Events GFP_Atg8_untreated	Expression Ctrl_untreated	Expression GFP_Atg8_untreated	P-value GFP_Atg8_untreated vs Ctrl_untreated	Adjusted p-value GFP_Atg8_untreated vs Ctrl_untreated	Average expression GFP_Atg8_untreated vs Ctrl_untreated	Ratio [log2] GFP_Atg8_untreated vs Ctrl_untreated
0	pdb|3OGO|GFPNANOBODY_SYNTHETIC	pdb|3OGO|GFPNANOBODY_SYNTHETIC GFP-Nanobody OS=Synthetic OX=0000 GN=GFPNanobody PE=1 SV=1	pdb|3OGO|GFPNANOBODY_SYNTHETIC GFP-Nanobody OS=Synthetic OX=0000 GN=GFPNanobody PE=1 SV=1	GFPNanobody	123			GFP-Nanobody	1.0	0.999	18	3695	3578	3695	605	602	630	641	566	651	587	583	613	618	547	630	605	602	630	641	566	651	284491120000.0	247693310000.0	274389880000.0	308972620000.0	327646940000.0	361028600000.0	70284970000.0	62640726000.0	70744530000.0	87890820000.0	84741270000.0	102183450000.0		3OGO	3OGO	False	3OGO	False	13.79	pdb|3OGO|GFPNANOBODY_SYNTHETIC GFP-Nanobody OS=Synthetic OX=0000 GN=GFPNanobody PE=1 SV=1	6	326734985832.07245	275673806976.7227	332568030376.3683	350912118574.57367	409491340823.39325	415568644311.25165	71.5	True	36.33235208972713	36.32920018300007	35.852888941870134	36.39578723379226	35.806667138294955	36.45359273656941	0	0	0	False	False	False	False	False	False	6	3	3	36.171480404865775	36.218682369552205	0.8860240284793672	0.9841555191928069	36.19508138720899	0.047201964686429676
1	sp|O13535|YH11B_YEAST	O13535	YH11B_YEAST	TY1B-H	1793	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	3:Protein inferred from homology	Transposon Ty1-H Gag-Pol polyprotein	1.0	0.999	4	16	0	16	3	2	4	2	2	3	0	0	0	0	0	0	3	2	4	2	2	3	6449396.0	5476763.0	8661923.0	7576486.5	9898738.0	8632196.0	4091531.5	3611020.2	4544885.5	4345240.5	6023303.0	5965552.5	sp|Q03619|YE12B_YEAST, sp|Q12088|YL11B_YEAST	O13535	O13535	False	O13535;Q03619;Q12088	False;False;False	202.69	sp|O13535|YH11B_YEAST Transposon Ty1-H Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-H PE=3 SV=1	78	569773.9855061003	468880.12317119614	807575.9464210795	661915.9899039341	951645.2482192415	764326.8298388398	3.7	True	22.264064458215604	22.24679336075417	21.926801908755124	22.091798396693974	22.026444843487287	22.389446470422644	0	0	0	False	False	False	False	False	False	6	3	3	22.145886575908303	22.16922990353463	0.9015191122819537	0.9841555191928069	22.157558239721467	0.023343327626328403
2	sp|O14455|RL36B_YEAST	O14455	RL36B_YEAST	RPL36B	100	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	60S ribosomal protein L36-B	1.0	0.999	6	57	23	57	11	10	9	7	11	9	4	4	4	3	4	4	11	10	9	7	11	9	83545550.0	67743430.0	93812560.0	86994216.0	123970020.0	97526240.0	22005836.0	18474940.0	27778912.0	23124304.0	36309948.0	27923712.0		O14455	O14455	False	O14455	False	11.13	sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3	4	143926745.9152119	113094026.91837615	170555078.2545162	148204028.43605077	232405572.1916839	168389072.25732434	41.0	True	24.69123777471718	24.601884643936454	24.538476150057203	24.50370040592388	24.618182967430165	24.616209542878632	0	0	0	False	False	False	False	False	False	6	3	3	24.610532856236947	24.57936430541089	0.7607481987832418	0.9841555191928069	24.594948580823917	-0.031168550826055963
3	sp|P00330|ADH1_YEAST	P00330	ADH1_YEAST	ADH1	348	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Alcohol dehydrogenase 1	1.0	0.999	17	141	0	141	25	23	25	23	23	22	0	0	0	0	0	0	25	23	25	23	23	22	694182850.0	653225150.0	954064800.0	844197200.0	1114268800.0	929181200.0	93121490.0	87460290.0	130131060.0	113664270.0	149151060.0	125272190.0	sp|contam_P00330|ADH1_YEAST	P00330	P00330	False	P00330;contam_P00330	False;True	36.83	sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5	17	281386419.9424502	256593974.18920633	408124447.3620449	338395522.0369362	491508355.9326606	377488658.07975453	52.0	True	26.7724657364927	26.84494309701671	26.7663794988323	26.800997375976486	26.656520429065104	26.781713077615308	0	0	0	False	False	False	False	False	False	6	3	3	26.79459611078057	26.746410294218965	0.6105646929430592	0.9841555191928069	26.770503202499768	-0.04818581656160603
4	sp|P00358|G3P2_YEAST	P00358	G3P2_YEAST	TDH2	332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Glyceraldehyde-3-phosphate dehydrogenase 2	1.0	0.999	16	22	6	266	3	2	4	3	5	5	1	1	1	1	1	1	42	40	51	42	48	43	15670807.0	13746748.0	32069116.0	20570704.0	43057564.0	35474996.0	6371755.5	6003687.0	10568855.0	8807687.0	17086190.0	10585925.0		P00358	P00358	False	P00358	False	35.82	sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3	20	5399325.894378154	4589891.856235013	11660593.398012288	7008882.522869298	16143931.893533694	12250244.990009442	9.6	True	22.903114407336172	22.980235634574864	23.14430514247029	23.111125567841146	23.53064883388451	23.21686614371614	0	0	0	False	False	False	False	False	False	6	3	3	23.009218394793777	23.286213515147267	0.1313455826592934	0.9841555191928069	23.147715954970522	0.27699512035349017
5	sp|P00359|G3P3_YEAST	P00359	G3P3_YEAST	TDH3	332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Glyceraldehyde-3-phosphate dehydrogenase 3	1.0	0.999	19	296	52	296	47	47	57	49	52	44	8	9	10	10	9	6	47	47	57	49	52	44	1515161900.0	1285309300.0	2521348600.0	2109317800.0	3003137300.0	2172450600.0	306890940.0	269001540.0	531999360.0	398187620.0	613295170.0	428416300.0		P00359	P00359	False	P00359	False	35.72	sp|P00359|G3P3_YEAST Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3	20	522044134.73059833	429151002.75447875	916783014.5130138	718690068.3417115	1125991336.5774865	750191827.4689306	56.9	True	28.493005744309922	28.465857491855775	28.79783865984332	28.609666924167307	28.69632778737522	28.555660272304255	0	0	0	False	False	False	False	False	False	6	3	3	28.585567298669673	28.62055166128226	0.7923457486965296	0.9841555191928069	28.60305947997597	0.03498436261258675
6	sp|P00360|G3P1_YEAST	P00360	G3P1_YEAST	TDH1	332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Glyceraldehyde-3-phosphate dehydrogenase 1	0.9999	0.999	8	1	1	95	0	0	0	0	1	0	0	0	0	0	1	0	14	12	19	14	19	17	1627100.2	1156074.9	2385918.8	2724288.5	4486005.0	3191414.8	0.0	0.0	0.0	0.0	0.0	0.0		P00360	P00360	False	P00360	False	35.73	sp|P00360|G3P1_YEAST Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH1 PE=1 SV=3	22	509647.3764942715	350910.01943995024	788672.3902969562	843839.8632303766	1529068.455978682	1001873.7285665036	5.4	False							6	3	3	True	True	True	True	True	True	0	0	0						
7	sp|P00498|HIS1_YEAST	P00498	HIS1_YEAST	HIS1	297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	ATP phosphoribosyltransferase	0.8888	0.9966	1	2	2	2	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1048876.1	1071032.0	1538223.0	1271419.0	1639272.5	1514728.5	0.0	0.0	0.0	0.0	0.0	0.0		P00498	P00498	False	P00498	False	32.25	sp|P00498|HIS1_YEAST ATP phosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HIS1 PE=1 SV=1	18	401540.9662852271	397340.1203742554	621456.0991214744	481333.1948161684	682917.9136134726	581185.4141607394	2.7	False							6	3	3	True	True	True	True	True	True	0	0	0						
8	sp|P00549|KPYK1_YEAST	P00549	KPYK1_YEAST	CDC19	500	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Pyruvate kinase 1	1.0	0.999	31	295	281	295	47	45	52	50	48	53	45	43	49	47	46	51	47	45	52	50	48	53	848652860.0	732302850.0	1177688400.0	1025121660.0	1359528800.0	1161864300.0	88387464.0	76090010.0	123904670.0	106036230.0	142987790.0	119332344.0		P00549	P00549	False	P00549	False	54.51	sp|P00549|KPYK1_YEAST Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2	28	208857571.11187145	174648624.8193126	305869395.65057933	249486471.03003392	364099629.75042945	286582581.7982137	66.0	True	26.697193360661622	26.644022016941705	26.695644713754323	26.700775839872357	26.59563815606547	26.711632026853504	0	0	0	False	False	False	False	False	False	6	3	3	26.678953363785883	26.669348674263777	0.9142804783010268	0.9841555191928069	26.67415101902483	-0.009604689522106469
9	sp|P00560|PGK_YEAST	P00560	PGK_YEAST	PGK1	416	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292	1:Experimental evidence at protein level	Phosphoglycerate kinase	1.0	0.999	24	197	197	197	37	31	34	31	29	35	37	31	34	31	29	35	37	31	34	31	29	35	581614600.0	564156500.0	726928200.0	706829300.0	845068900.0	802687800.0	64547004.0	64014012.0	80856860.0	77754220.0	94343180.0	92399120.0		P00560	P00560	False	P00560	False	44.71	sp|P00560|PGK_YEAST Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGK1 PE=1 SV=2	27	148439578.00137743	139530229.79700488	195790408.15858948	178394064.77260232	234702768.0663759	205321918.07960865	59.4	True	26.24370172733164	26.39470269550152	26.079856233797894	26.253211439765018	25.99573633361277	26.34259791753775	0	0	0	False	False	False	False	False	False	6	3	3	26.23942021887702	26.197181896971845	0.7733332798343359	0.9841555191928069	26.21830105792443	-0.04223832190517385
